title,date_from,date_to,location
Alegria - Repetitie,2018-02-18 18:30:00 +0100,2018-02-18 20:30:00 +0100,Handle
Alegria - Repetitie,2018-02-24 13:00:00 +0100,2018-02-24 15:00:00 +0100,Handle
Alegria - Repetitie,2018-03-03 13:00:00 +0100,2018-03-03 15:00:00 +0100,Handle
Alegria - Repetitie,2018-03-17 13:00:00 +0100,2018-03-17 15:00:00 +0100,Handle
